Date,Ken,Jyutaku,Akiya
2003,shizuoka,1487300,201000
2008,shizuoka,1597900,226800
2013,shizuoka,1659300,270900
2018,shizuoka,1714700,281600
1978,aichi,1842500,167100
1983,aichi,1994100,184600
1988,aichi,2181700,210900
1993,aichi,2414300,228900
1998,aichi,2681000,298900
2003,aichi,2898800,333400
2008,aichi,3132900,343600
2013,aichi,3439000,422000
2018,aichi,3481800,393800
1978,mie,477300,35100
1983,mie,518300,44100
1988,mie,558500,54600
1993,mie,610300,59800
1998,mie,687000,84800
2003,mie,738700,101200
2008,mie,791000,104600
2013,mie,831200,128500
2018,mie,853700,129600
1978,shiga,293500,28500
1983,shiga,321800,28800
1988,shiga,353300,31700
1993,shiga,391900,38900
1998,shiga,458700,50200
2003,shiga,504100,63800
2008,shiga,567600,73300
2013,shiga,602500,77800
2018,shiga,626000,81200
1978,kyoto,788600,62700
1983,kyoto,885800,85800
1988,kyoto,959800,98900
1993,kyoto,1023000,99800
1998,kyoto,1110900,135100
2003,kyoto,1201100,153100
2008,kyoto,1270200,167000
2013,kyoto,1320300,175300
2018,kyoto,1338300,171800
1978,osaka,2848800,279100
1983,osaka,3053700,327600
1988,osaka,3301600,364200
1993,osaka,3497600,369400
1998,osaka,3852500,501300
2003,osaka,4130800,603300
2008,osaka,4346000,625100
2013,osaka,4586000,678800
2018,osaka,4680200,709400
1978,hyogo,1615300,139200
1983,hyogo,1738100,173100
1988,hyogo,1862700,195800
1993,hyogo,2019300,202000
1998,hyogo,2214300,299100
2003,hyogo,2380400,313600
2008,hyogo,2520700,336200
2013,hyogo,2733700,356500
2018,hyogo,2680900,360200
1978,nara,331900,25700
1983,nara,374300,30800
1988,nara,418100,38900
1993,nara,473100,46100
1998,nara,525800,64200
2003,nara,562200,75700
2008,nara,592600,86400
2013,nara,615000,84500
2018,nara,617600,87200
1978,wakayama,349400,31700
1983,wakayama,364300,38500
1988,wakayama,383400,49600
1993,wakayama,400700,50800
1998,wakayama,431200,62600
2003,wakayama,459000,80400
2008,wakayama,467900,83700
2013,wakayama,475900,86000
2018,wakayama,485200,98400
1978,tottori,165300,9300
1983,tottori,180200,14600
1988,tottori,189800,18500
1993,tottori,201200,19500
1998,tottori,214800,23100
2003,tottori,231300,30000
2008,tottori,247200,38000
2013,tottori,250100,35900
2018,tottori,256600,39900
1978,shimane,223500,13100
1983,shimane,233300,16100
1988,shimane,245800,19200
1993,shimane,254300,22600
1998,shimane,277400,28100
2003,shimane,283500,31500
2008,shimane,295800,44200
2013,shimane,304200,44800
2018,shimane,314200,48300
1978,okayama,556500,43700
1983,okayama,594600,51800
1988,okayama,647300,73100
1993,okayama,692500,65100
1998,okayama,759000,100200
2003,okayama,803700,104200
2008,okayama,866600,128300
2013,okayama,885300,140100
2018,okayama,916300,142500
1978,hiroshima,864600,66400
1983,hiroshima,935400,80100
1988,hiroshima,1015200,100500
1993,hiroshima,1105600,117800
1998,hiroshima,1198300,156600
2003,hiroshima,1271800,171600
2008,hiroshima,1356200,198300
2013,hiroshima,1393500,221300
2018,hiroshima,1430700,215600
1978,yamaguchi,497700,35300
1983,yamaguchi,532400,41700
1988,yamaguchi,565800,53900
1993,yamaguchi,593100,56300
1998,yamaguchi,633100,70500
